;WS_150;WD_150
2012-01-01;14.11515842679208;234.73184242628162
2012-01-02;14.677283544116024;247.44372145972255
2012-01-03;23.538281972487805;229.40050793919767
2012-01-04;21.1798534278872;270.5037618397501
2012-01-05;21.706917009569207;312.80747304203163
2012-01-06;15.488766246859562;310.1585336592422
2012-01-07;16.96036195954987;295.7241312475757
2012-01-08;12.045606632315332;322.46808687286256
2012-01-09;12.95089670503985;274.8587932337676
2012-01-10;12.38324687031678;265.575941106817
2012-01-11;14.20928033681748;270.19786383351965
2012-01-12;21.14259533428742;293.9457561998155
2012-01-13;21.327783023200244;327.6311649278605
2012-01-14;11.21134976706505;343.7828518377166
2012-01-15;5.063642367836916;316.9811465973063
2012-01-16;8.12924039366227;291.3385908775504
2012-01-17;7.139457434503501;253.22893791488104
2012-01-18;13.867169957821853;249.8493206227397
2012-01-19;14.681758880466566;279.62928456333395
2012-01-20;11.559212475041614;298.4197532174195
2012-01-21;17.882917847437383;274.67439749851803
2012-01-22;5.643099772002057;31.371502371363334
2012-01-23;4.0869515946375055;258.47204960726117
2012-01-24;7.447177775833695;133.57263419485835
2012-01-25;15.226008811516415;145.9434064922858
2012-01-26;20.877746467931797;146.9028392679505
2012-01-27;12.110614053128948;156.6472314197652
2012-01-28;10.37908716519671;125.14324549519449
2012-01-29;10.440142890547003;95.99746526019538
2012-01-30;15.290177232461494;104.82702487373516
2012-01-31;14.48564702876422;99.41635393331664
2012-02-01;8.84813667443657;93.91764502148911
2012-02-02;4.110988726568537;128.72815484498275
2012-02-03;8.12275213581057;89.27535988940097
2012-02-04;7.004562910925586;141.90754879508162
2012-02-05;12.69269902243554;181.9692395435595
2012-02-06;11.160677104340614;170.36595999748212
2012-02-07;4.846388979164108;136.1278938900822
2012-02-08;3.566662735651846;153.37679423204298
2012-02-09;8.558684776419453;94.9936240316503
2012-02-10;5.419309428144026;157.75681590051465
2012-02-11;8.139417611319471;239.3647071120729
2012-02-12;12.275627149249516;326.67163070040215
2012-02-13;10.698124144798415;311.5032103107076
2012-02-14;17.517639961425772;327.76243837776417
2012-02-15;19.12693740697532;340.61465976981117
2012-02-16;12.478059550649009;292.9238428799645
2012-02-17;11.330442678826907;272.0455813113283
2012-02-18;16.13864849490263;242.28709309522003
2012-02-19;15.779163386524504;320.41385694925157
2012-02-20;16.934569343615795;247.5465967729442
2012-02-21;12.733088674060218;265.9807903429762
2012-02-22;19.48278180878308;246.39827660222397
2012-02-23;15.506586056607341;279.03630602495605
2012-02-24;16.697257453742765;290.3866271115027
2012-02-25;15.696239570212484;304.15480209163167
2012-02-26;7.387091926875212;308.60533266575277
2012-02-27;12.256432140578264;252.93718248994915
