=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42 init=baseline
output=results_bump_opt_baseline

Starting differential evolution: popsize=15, maxiter=20, max_evals=3900
Initial (baseline (TopFarm-style, zero bumps)): {'K': 1.0, 'logM': 4.0, 'W': 0.0, 'A1': 0.0, 'A2': 0.0, 'c1': 0.5, 'c2': 0.75, 'w1': 0.04, 'w2': 0.05, 'C': 1.0, 'D': 0.0, 'B1': 0.1, 'B2': 0.2}
[1] AEP=5521.9 feas=True best=5521.9 (71s)
[2] AEP=5528.4 feas=True best=5528.4 (39s)
[3] AEP=5548.6 feas=True best=5548.6 (38s)
[4] AEP=5557.1 feas=True best=5557.1 (37s)
[5] AEP=5561.5 feas=True best=5561.5 (37s)
[6] AEP=5559.9 feas=True best=5561.5 (38s)
[7] AEP=5556.6 feas=True best=5561.5 (37s)
[8] AEP=5560.7 feas=True best=5561.5 (37s)
[9] AEP=5561.5 feas=True best=5561.5 (37s)
[10] AEP=5558.5 feas=True best=5561.5 (37s)
[11] AEP=5556.8 feas=True best=5561.5 (38s)
[12] AEP=5561.8 feas=True best=5561.8 (38s)
[13] AEP=5540.5 feas=False best=5561.8 (38s)
[14] AEP=5562.6 feas=True best=5562.6 (37s)
[15] AEP=5534.2 feas=True best=5562.6 (38s)
[16] AEP=5558.3 feas=True best=5562.6 (38s)
[17] AEP=5563.7 feas=True best=5563.7 (37s)
[18] AEP=5532.7 feas=False best=5563.7 (38s)
[19] AEP=5546.6 feas=True best=5563.7 (38s)
[20] AEP=5530.8 feas=True best=5563.7 (38s)
[21] AEP=5557.4 feas=True best=5563.7 (38s)
[22] AEP=5552.7 feas=True best=5563.7 (37s)
[23] AEP=5557.3 feas=True best=5563.7 (38s)
[24] AEP=5563.2 feas=True best=5563.7 (37s)
[25] AEP=5551.0 feas=True best=5563.7 (38s)
[26] AEP=5551.5 feas=True best=5563.7 (37s)
[27] AEP=5561.6 feas=False best=5563.7 (37s)
[28] AEP=5562.3 feas=True best=5563.7 (37s)
[29] AEP=5553.2 feas=True best=5563.7 (38s)
[30] AEP=5560.8 feas=True best=5563.7 (37s)
[31] AEP=5543.0 feas=True best=5563.7 (38s)
differential_evolution step 1: f(x)= -5563.66
[32] AEP=5561.8 feas=False best=5563.7 (38s)
[33] AEP=5560.6 feas=False best=5563.7 (37s)
[34] AEP=5548.7 feas=True best=5563.7 (38s)
[35] AEP=5555.3 feas=True best=5563.7 (38s)
[36] AEP=5558.3 feas=True best=5563.7 (38s)
[37] AEP=5558.7 feas=False best=5563.7 (38s)
[38] AEP=5557.7 feas=True best=5563.7 (37s)
[39] AEP=5560.1 feas=True best=5563.7 (37s)
[40] AEP=5552.1 feas=True best=5563.7 (37s)
[41] AEP=5564.0 feas=True best=5564.0 (37s)
[42] AEP=5553.1 feas=True best=5564.0 (37s)
[43] AEP=5560.7 feas=True best=5564.0 (37s)
[44] AEP=5554.8 feas=True best=5564.0 (38s)
[45] AEP=5562.4 feas=True best=5564.0 (38s)
[46] AEP=5545.2 feas=True best=5564.0 (38s)
differential_evolution step 2: f(x)= -5563.99
[47] AEP=5563.8 feas=True best=5564.0 (37s)
[48] AEP=5552.4 feas=True best=5564.0 (37s)
[49] AEP=5554.5 feas=True best=5564.0 (38s)
[50] AEP=5555.9 feas=True best=5564.0 (37s)
[51] AEP=5553.4 feas=True best=5564.0 (37s)
[52] AEP=5549.5 feas=True best=5564.0 (37s)
[53] AEP=5564.6 feas=True best=5564.6 (37s)
[54] AEP=5559.7 feas=False best=5564.6 (37s)
[55] AEP=5559.7 feas=True best=5564.6 (38s)
[56] AEP=5557.1 feas=True best=5564.6 (38s)
[57] AEP=5556.8 feas=True best=5564.6 (37s)
[58] AEP=5543.5 feas=True best=5564.6 (38s)
[59] AEP=5560.2 feas=True best=5564.6 (37s)
[60] AEP=5561.7 feas=True best=5564.6 (38s)
[61] AEP=5431.6 feas=False best=5564.6 (39s)
differential_evolution step 3: f(x)= -5564.65
[62] AEP=5554.7 feas=True best=5564.6 (37s)
[63] AEP=5561.5 feas=True best=5564.6 (37s)
[64] AEP=5558.8 feas=True best=5564.6 (38s)
[65] AEP=5547.1 feas=True best=5564.6 (37s)
[66] AEP=5556.9 feas=False best=5564.6 (37s)
[67] AEP=5561.8 feas=True best=5564.6 (37s)
[68] AEP=5549.8 feas=True best=5564.6 (38s)
[69] AEP=5564.0 feas=True best=5564.6 (37s)
[70] AEP=5555.9 feas=True best=5564.6 (38s)
[71] AEP=5560.8 feas=True best=5564.6 (37s)
[72] AEP=5554.8 feas=True best=5564.6 (38s)
[73] AEP=5559.8 feas=False best=5564.6 (37s)
[74] AEP=5559.8 feas=False best=5564.6 (37s)
[75] AEP=5559.3 feas=True best=5564.6 (38s)
[76] AEP=5557.9 feas=True best=5564.6 (38s)
differential_evolution step 4: f(x)= -5564.65
[77] AEP=5562.3 feas=True best=5564.6 (37s)
[78] AEP=5559.8 feas=True best=5564.6 (38s)
[79] AEP=5561.7 feas=True best=5564.6 (37s)
[80] AEP=5556.1 feas=True best=5564.6 (37s)
[81] AEP=5561.4 feas=True best=5564.6 (37s)
[82] AEP=5560.8 feas=True best=5564.6 (37s)
[83] AEP=5556.3 feas=True best=5564.6 (38s)
[84] AEP=5558.0 feas=True best=5564.6 (36s)
[85] AEP=5553.3 feas=True best=5564.6 (37s)
[86] AEP=5562.9 feas=True best=5564.6 (37s)
[87] AEP=5558.8 feas=True best=5564.6 (37s)
[88] AEP=5555.5 feas=True best=5564.6 (37s)
[89] AEP=5554.7 feas=True best=5564.6 (38s)
[90] AEP=5562.6 feas=True best=5564.6 (37s)
[91] AEP=5556.2 feas=True best=5564.6 (37s)
differential_evolution step 5: f(x)= -5564.65
[92] AEP=5555.7 feas=False best=5564.6 (37s)
[93] AEP=5560.6 feas=True best=5564.6 (37s)
[94] AEP=5561.2 feas=True best=5564.6 (37s)
[95] AEP=5555.8 feas=True best=5564.6 (37s)
[96] AEP=5562.1 feas=True best=5564.6 (38s)
[97] AEP=5551.1 feas=True best=5564.6 (38s)
[98] AEP=5562.9 feas=False best=5564.6 (37s)
[99] AEP=5558.5 feas=True best=5564.6 (37s)
[100] AEP=5556.9 feas=True best=5564.6 (37s)
[101] AEP=5562.9 feas=True best=5564.6 (37s)
[102] AEP=5560.2 feas=True best=5564.6 (37s)
[103] AEP=5558.4 feas=True best=5564.6 (39s)
[104] AEP=5559.0 feas=True best=5564.6 (38s)
[105] AEP=5558.0 feas=True best=5564.6 (37s)
[106] AEP=5560.4 feas=True best=5564.6 (38s)
differential_evolution step 6: f(x)= -5564.65
[107] AEP=5557.9 feas=True best=5564.6 (37s)
[108] AEP=5562.8 feas=True best=5564.6 (38s)
