=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42
output=results_bump_opt_baseline

[103] AEP=5550.9 feas=True best=5564.2 (37s)
[104] AEP=5559.9 feas=True best=5564.2 (36s)
[105] AEP=5560.7 feas=True best=5564.2 (37s)
[106] AEP=5560.4 feas=True best=5564.2 (38s)
differential_evolution step 6: f(x)= -5564.19
[107] AEP=5548.5 feas=True best=5564.2 (37s)
[108] AEP=5560.0 feas=True best=5564.2 (37s)
[109] AEP=5532.6 feas=False best=5564.2 (38s)
[110] AEP=5559.3 feas=True best=5564.2 (36s)
[111] AEP=5560.4 feas=True best=5564.2 (36s)
[112] AEP=5564.3 feas=True best=5564.3 (37s)
[113] AEP=5555.6 feas=True best=5564.3 (36s)
[114] AEP=5556.3 feas=True best=5564.3 (37s)
[115] AEP=5562.0 feas=True best=5564.3 (37s)
[116] AEP=5558.2 feas=True best=5564.3 (36s)
[117] AEP=5531.4 feas=True best=5564.3 (37s)
[118] AEP=5562.1 feas=True best=5564.3 (36s)
[119] AEP=5555.4 feas=True best=5564.3 (37s)
[120] AEP=5560.6 feas=False best=5564.3 (37s)
[121] AEP=5559.0 feas=True best=5564.3 (37s)
differential_evolution step 7: f(x)= -5564.27
[122] AEP=5566.1 feas=True best=5566.1 (36s)
[123] AEP=5553.5 feas=True best=5566.1 (37s)
[124] AEP=5557.5 feas=False best=5566.1 (37s)
[125] AEP=5561.5 feas=True best=5566.1 (36s)
[126] AEP=5556.6 feas=False best=5566.1 (37s)
[127] AEP=5562.2 feas=True best=5566.1 (37s)
[128] AEP=5537.9 feas=False best=5566.1 (37s)
[129] AEP=5553.9 feas=True best=5566.1 (37s)
[130] AEP=5554.4 feas=True best=5566.1 (37s)
[131] AEP=5557.7 feas=True best=5566.1 (37s)
[132] AEP=5441.3 feas=False best=5566.1 (38s)
[133] AEP=5280.1 feas=False best=5566.1 (38s)
[134] AEP=5560.9 feas=True best=5566.1 (37s)
[135] AEP=5529.1 feas=True best=5566.1 (38s)
[136] AEP=5552.3 feas=True best=5566.1 (37s)
differential_evolution step 8: f(x)= -5566.05
[137] AEP=5560.1 feas=True best=5566.1 (37s)
[138] AEP=5559.9 feas=True best=5566.1 (36s)
[139] AEP=5559.8 feas=True best=5566.1 (37s)
[140] AEP=5560.5 feas=True best=5566.1 (37s)
[141] AEP=5562.4 feas=False best=5566.1 (36s)
[142] AEP=5551.9 feas=True best=5566.1 (37s)
[143] AEP=5559.9 feas=True best=5566.1 (37s)
[144] AEP=5561.1 feas=True best=5566.1 (36s)
[145] AEP=5558.0 feas=True best=5566.1 (36s)
[146] AEP=5560.6 feas=True best=5566.1 (37s)
[147] AEP=5556.0 feas=True best=5566.1 (37s)
[148] AEP=5555.4 feas=True best=5566.1 (37s)
[149] AEP=5529.1 feas=True best=5566.1 (37s)
[150] AEP=5559.8 feas=True best=5566.1 (36s)
[151] AEP=5562.4 feas=True best=5566.1 (37s)
differential_evolution step 9: f(x)= -5566.05
[152] AEP=5553.4 feas=True best=5566.1 (37s)
[153] AEP=5555.8 feas=False best=5566.1 (37s)
[154] AEP=5536.4 feas=True best=5566.1 (37s)
[155] AEP=5562.7 feas=True best=5566.1 (37s)
[156] AEP=5558.0 feas=True best=5566.1 (37s)
[157] AEP=5560.3 feas=True best=5566.1 (36s)
[158] AEP=5559.9 feas=True best=5566.1 (36s)
[159] AEP=5557.3 feas=True best=5566.1 (37s)
[160] AEP=5560.8 feas=False best=5566.1 (36s)
[161] AEP=5560.0 feas=True best=5566.1 (36s)
[162] AEP=5562.7 feas=True best=5566.1 (36s)
[163] AEP=5563.0 feas=True best=5566.1 (37s)
[164] AEP=5544.1 feas=True best=5566.1 (37s)
[165] AEP=5556.8 feas=True best=5566.1 (36s)
[166] AEP=5550.2 feas=True best=5566.1 (37s)
differential_evolution step 10: f(x)= -5566.05
[167] AEP=5559.3 feas=True best=5566.1 (36s)
[168] AEP=5560.0 feas=False best=5566.1 (36s)
[169] AEP=5561.3 feas=False best=5566.1 (37s)
[170] AEP=5561.6 feas=True best=5566.1 (37s)
[171] AEP=5561.9 feas=True best=5566.1 (37s)
[172] AEP=5557.6 feas=True best=5566.1 (36s)
[173] AEP=5564.3 feas=True best=5566.1 (36s)
[174] AEP=5557.5 feas=True best=5566.1 (37s)
